wavenumbercm-1	lambda_air	lambda_vac	intens	element	ionization_state	source
32955.5415	3033.508059	3034.3910446745354	2.953	Ar	II	W
32938.1448	3035.110311	3035.993696888478	2.685	Th	II	P
32933.5075	3035.537696	3036.4211889668904	1.875	Th	II	P
32897.8865	3038.824635	3039.708949084009	1.826	Th	II	P
32864.1922	3041.940344	3042.8254372246524	1.989	Th	I	P
32852.0437	3043.065282	3043.950656865831	2.366	Th	II	P
32830.4362	3045.068171	3045.954046751289	1.924	Th	II	P
32810.1468	3046.951282	3047.837628084005	2.768	Th	II	P
32787.1081	3049.092387	3049.979269138409	3.008	Th	II	P
32778.8304	3049.862412	3050.749486168366	2.358	Th	II	P
32768.5864	3050.815888	3051.7032007215303	2.669	Ni	I	P
32766.7719	3050.984837	3051.8721925121954	2.125	Th	II	P
32758.0963	3051.792888	3052.6804452919323	2.084	Th	II	P
32703.9635	3056.844532	3057.7333539404176	1.687	Th	II	P
32691.2979	3058.028894	3058.918012551591	2.64	Th	I	P
32687.0504	3058.426284	3059.315501896739	2.363	Th	II	P
32665.5549	3060.438957	3061.32867805653	3.537	Th	I	P
32660.5765	3060.905473	3061.7953115432606	1.893	Ar	II	W
32609.6726	3065.683758	3066.5747929036243	2.442	Th	I	P
32607.0535	3065.930013	3066.821109733205	2.349	Th	II	P
32603.7968	3066.236272	3067.1274457212908	1.888	Th	III	P
32601.9279	3066.412051	3067.303268283101	2.263	Th	II	P
32587.9284	3067.729409	3068.620955973378	3.15	Th	II	P
32555.1709	3070.816328	3071.708648287268	2.823	Th	II	P
32541.4093	3072.115012	3073.00765858349	3.027	Th	II	P
32533.8883	3072.825235	3073.7180590861008	2.574	Th	II	P
32510.2823	3075.056529	3075.9499126219525	2.872	Th	II	P
32501.9978	3075.840368	3076.733947720592	2.009	Th	II	P
32486.1696	3077.339066	3078.2330213531854	2.396	Th	II	P
32482.1788	3077.717166	3078.611216806675	2.804	Th	I	P
32479.9133	3077.931848	3078.825952407946	2.226	Th	II	P
32462.5997	3079.573497	3080.4680131640844	2.01	Th	I	P
32459.2906	3079.88746	3080.782055045898	2.013	Th	II	P
32455.8176	3080.217043	3081.1117203222143	3.199	Th	II	P
32437.2424	3081.981001	3082.87612019695	2.627	Th	II	P
32431.7316	3082.504712	3083.3999625231236	2.418	Th	I	P
32423.3943	3083.297373	3084.19282308145	2.511	Th	II	P
32405.2317	3085.025579	3085.9214624902684	2.353	Ar	II	W
32317.492	3093.401536	3094.2995205197235	2.893	Ar	II	W
32261.9547	3098.726877	3099.6261984088646	2.372	Th	I	P
32238.9486	3100.938252	3101.838128802997	2.857	Th	II	P
32232.5168	3101.557049	3102.457081477423	2.17	Ni	I	P
32175.7823	3107.026136	3107.9275421378024	2.708	Th	II	P
32172.4623	3107.346774	3108.24826112237	1.627	Th	II	P
32162.6295	3108.296793	3109.198518734297	3.298	Th	II	P
32144.8001	3110.020904	3110.923063416406	2.858	Th	II	P
32131.7849	3111.280689	3112.183164154071	2.225	Th	I	P
32123.4389	3112.089063	3112.9917413667686	1.89	Th	II	P
32065.7929	3117.68401	3118.5880951660483	2.623	Th	II	P
32032.948	3120.880842	3121.7857313663417	2.9	Th	I	P
31996.9983	3124.387391	3125.2931622651618	2.958	Th	II	P
31988.5854	3125.209127	3126.1151047961002	2.767	Th	II	P
31979.9488	3126.053162	3126.959352730421	1.955	Th	II	P
31968.137	3127.208241	3128.1147224813258	2.222	Th	II	P
31939.8893	3129.974056	3130.8812332045245	2.009	Th	II	P
31902.7324	3133.619655	3134.527749729675	2.163	Th	II	P
31894.5282	3134.425744	3135.334041404632	2.752	Th	II	P
31876.3216	3136.216082	3137.124830614082	3.456	Th	I	P
31870.0906	3136.829275	3137.738177625388	3.245	Th	I	P
31866.6099	3137.171915	3138.0809039244555	1.772	Th	II	P
31861.931	3137.63262	3138.541728685559	1.843	Ar	II	N
31847.8777	3139.017198	3139.926652004193	2.963	Ar	II	W
31835.152	3140.272028	3141.181798032565	3.332	Th	I	P
31819.1916	3141.847238	3142.75740430816	2.522	Th	II	P
31809.1854	3142.835605	3143.746019978242	2.853	Th	II	P
31780.8584	3145.636991	3146.5481121177017	3.371	Th	I	P
31776.7534	3146.043368	3146.9545910250226	2.822	Th	II	P
31762.5666	3147.448606	3148.3601832101317	2.388	Th	I	P
31732.2568	3150.455077	3151.367412354989	2.675	Th	II	P
31726.5981	3151.017008	3151.929484680553	1.896	Th	I	P
31724.9168	3151.184006	3152.0965249623605	2.058	Th	I	P
31704.4513	3153.218199	3154.1312307776793	1.788	Th	II	P
31678.2115	3155.830181	3156.7438710989095	2.469	Th	II	P
31672.4864	3156.400648	3157.3144822630657	2.427	Th	II	P
31650.2597	3158.617344	3159.53173679646	2.055	Th	II	P
31628.1672	3160.823743	3161.7386922123014	1.701	Th	II	P
31619.5205	3161.688137	3162.603303867306	2.05	Th	II	P
31591.6096	3164.481563	3165.397435146831	2.174	Th	II	P
31583.5307	3165.291051	3166.2071270581537	2.113	Ar	II	W
31543.2976	3169.328492	3170.245586498223	2.585	Th	II	P
31539.919	3169.668007	3170.585187615732	2.953	Ar	II	W
31523.9325	3171.275477	3172.1930631592363	3.19	Th	I	P
31502.5641	3173.426654	3174.3447829378433	3.396	Th	I	P
31496.6841	3174.019111	3174.9373896790617	2.093	Th	I	P
31494.8462	3174.20434	3175.122664990185	2.665	Th	II	P
31488.5476	3174.839294	3175.757779314026	2.057	Th	I	P
31479.7585	3175.725737	3176.644445985823	2.964	Th	II	P
31475.3844	3176.16708	3177.085900815877	2.746	Th	I	P
31454.8235	3178.243304	3179.162648933637	3.492	Th	I	P
31446.8599	3179.048191	3179.967739799674	3.08	Th	II	P
31435.5326	3180.193754	3181.1135911850274	3.623	Th	II	P
31427.1987	3181.037112	3181.957162475318	2.713	Ar	II	W
31413.6864	3182.405455	3183.3258512442526	2.111	Th	II	P
31411.3465	3182.642528	3183.562984159243	2.243	Th	II	P
31395.2254	3184.27684	3185.1977084388127	2.382	Th	I	P
31376.5549	3186.171701	3187.093048255594	1.703	Ar	II	W
31328.1666	3191.093121	3192.01571150991	2.384	Th	II	P
31313.5215	3192.585625	3193.5085934042904	3.316	Th	I	P
31307.8914	3193.159769	3194.0828822473813	2.11	Th	II	P
31305.8413	3193.368884	3194.292050538185	2.112	Th	II	P
31301.8019	3193.780994	3194.7042639740175	2.54	Th	I	P
31286.7854	3195.313946	3196.2376038798793	1.995	Th	II	P
31283.1123	3195.689137	3196.612889440671	3.457	Th	I	P
31258.2688	3198.229104	3199.1534988655544	2.45	Th	II	P
31207.8821	3203.392994	3204.3186935777358	1.543	Ar	II	N
31198.8454	3204.320885	3205.2468198069923	2.603	Ar	II	W
31189.4249	3205.288757	3206.214937294339	1.948	Th	II	P
31167.1364	3207.581032	3208.507792201275	1.773	Ar	II	W
31165.1789	3207.782509	3208.7093201316425	2.111	Th	II	P
31140.6547	3210.308825	3211.236275003557	2.696	Th	II	P
31136.1068	3210.777756	3211.705324700389	2.335	Th	I	P
31132.0679	3211.194319	3212.1219933482157	3.3	Th	I	P
31119.24	3212.518078	3213.4460867296243	1.913	Ar	II	W
31104.1694	3214.074664	3215.003066437775	3.119	Th	I	P
31101.2137	3214.380124	3215.3086038568326	3.019	Th	I	P
31075.9064	3216.997913	3217.9270561839508	2.208	Th	I	P
31043.5522	3220.350851	3221.280842982911	2.541	Th	II	P
31028.9721	3221.864105	3222.7944798725707	2.116	Th	II	P
31023.8324	3222.397889	3223.3283983316	1.973	Ar	II	W
30994.8511	3225.411053	3226.3423262581828	2.825	Th	II	P
30988.0497	3226.119007	3227.050458745069	2.337	Th	II	P
30960.3104	3229.009593	3229.9417773279174	3.082	Th	II	P
30942.5029	3230.867963	3231.8006181717124	2.592	Th	II	P
30930.4694	3232.124977	3233.0579502941523	3.343	Th	I	P
30928.7355	3232.30618	3233.239199190669	3.447	Th	I	P
30887.9592	3236.573413	3237.507513931189	2.134	Th	I	P
30873.2476	3238.115747	3239.050238433614	3.402	Th	II	P
30865.4454	3238.93431	3239.8690089856923	3.088	Th	I	P
30849.1544	3240.644805	3241.579937763221	3.082	Th	I	P
30844.7463	3241.10795	3242.043200076507	2.706	Th	II	P
30820.2123	3243.688079	3244.6239833331715	3.043	Ar	II	W
30816.8363	3244.043439	3244.979433531274	2.459	Th	I	P
30812.9861	3244.448809	3245.3849060737416	3.58	Th	I	P
30808.8774	3244.881507	3245.8177135658957	1.905	Th	I	P
30798.3167	3245.994211	3246.9306999495852	2.328	Th	I	P
30770.8303	3248.893834	3249.8310583448897	2.168	Th	II	P
30766.5757	3249.343128	3250.2804658888313	1.853	Th	I	P
30742.2353	3251.91591	3252.8539003147894	3.694	Th	I	P
30725.5315	3253.683861	3254.62230002433	3.01	Th	I	P
30723.8122	3253.865943	3254.8044282082938	3.387	Th	I	P
30721.9109	3254.067323	3255.0058596778235	2.902	Th	I	P
30714.902	3254.809902	3255.748626513606	2.287	Th	II	P
30701.0937	3256.273854	3257.212950690418	3.075	Th	II	P
30692.7221	3257.162051	3258.1013725074586	2.506	Th	II	P
